beauty_title,yes_relevancy,no_relevancy
"CHANEL Fall-Winter 2022/23 Haute Couture Show, The Film of the Show — CHANEL Shows",0.9949249029,0.005075026304
Young Thug - Chanel (ft Gunna & Lil Baby) [Official Video],9.18E-05,0.9999080896
The Film of the CHANEL Cruise 2022/23 Show — CHANEL Shows,0.2367122322,0.7632878423
The CHANEL Spring-Summer 2022 Ready-to-Wear Show — CHANEL Shows,0.9985951781,0.001404833049
"INFINITE TWEED, the Film of the CHANEL Fall-Winter 2022/23 Ready-to-Wear Show — CHANEL Shows",0.9961816072,0.003818391822
"Young Thug, Lil Baby, Gunna - Chanel (Go Get It) (Lyrics)",2.90E-05,0.9999709129
The Film of the Spring-Summer 2022 Haute Couture Show — CHANEL Shows,0.9979016781,0.00209834869
TOTALLY UNEXPECTED CHANEL BAG UNBOXING! + Help Me Pick 3 Designer Bags for you! 🎉,0.980871141,0.019128846
Chanel | Fall Winter 2022/2023 | Full Show,0.9988530874,0.001146929571
Frank Ocean - Chanel (Nick Leon Atmosphere Remix),1.75E-05,0.9999824762
The Spring-Summer 2019 Ready-to-Wear Show — CHANEL,0.9985118508,0.001488097478
Chanel | Haute Couture Fall Winter 2022/2023 | Full Show,0.9987062216,0.001293790061
Spring-Summer 2019 Haute Couture Show – CHANEL Shows,0.9968785048,0.003121438436
The Spring-Summer 2021 Haute Couture Show—  CHANEL Shows,0.9965496063,0.003450382268
Ar'mon And Trey - Chanel ft. Queen Naija (OFFICIAL MUSIC VIDEO),0.0006633346784,0.9993366599
Frank Oceon - Chanel (Lyrics),1.30E-05,0.9999870062
"CHANEL Fall-Winter 2022/23 Haute Couture Show, Haute Couture in Mouvement — CHANEL Shows",0.9979320765,0.002067988971
The ‘Le Château des Dames’ 2020/21 Métiers d’art Show —  CHANEL,0.007605678868,0.9923943281
Chanel - SloMo (Official Video) [Eurovision 2022],0.0001162154003,0.9998837709
Chanel - SloMo - Spain 🇪🇸 - National Final Performance - Eurovision 2022,0.1656884402,0.8343115449
Spring-Summer 2017 Haute Couture Show – CHANEL Shows,0.9917601943,0.008239854127
